92A	192	Salary-Payment to Government employees other than Indian Government employees
92B	192	Salary-Payment to employees other than Government employees
92C	192	Salary-Payment to Indian Government employees
192A	192A/2AA	TDS on PF withdrawal
193	193	Interest on Securities
194	194	Dividends
94A	194A	Interest other than 'Interest on securities'
94B	194B	Winning from lottery or crossword puzzle
94BA	194BA	Winnings from online games
4BB	194BB	Winning from horse race
94C	194C	Payments to contractors and sub-contractors
94D	194D	Insurance commission
4DA	194DA	Payment in respect of life insurance policy
94E	194E	Payments to non-resident sportsmen or sports associations
4EE	194EE	Payments in respect of deposits under National Savings
4F	194F/94F	Payments on account of repurchase of units by Mutual Fund or Unit Trust of India
4G	194G/94G	Commission, price, etc. on sale of lottery tickets
4H	194H/94H	Commission or brokerage
4-IA	194I(a)	Rent on hiring of plant and machinery
4-IB	194I(b)	Rent on other than plant and machinery
4IA	194IA/9IA	TDS on Sale of immovable property
4IB	194IB/9IB	Payment of rent by certain individuals or Hindu undivided
4IC	194IC	Payment under specified agreement
94J-A	194J(a)/4JA	Fees for technical services
94J-B	194J(b)/4JB	Fees for professional  services or royalty etc
94K	194K	Income payable to a resident assessee in respect of units of a specified mutual fund or of the units of the Unit Trust of India
4LA	194LA	Payment of compensation on acquisition of certain immovable
4LB	194LB	Income by way of I4Hnterest from Infrastructure Debt fund
4LC1	194LC/LC1	194LC (2)(i) and (ia) Income under clause (i) and (ia) of sub-section (2) of section 194LC
4LC2	194LC/LC2	194LC (2)(ib) Income under clause (ib) of sub-section (2) of section 194LC
4LC3	194LC/LC3	194LC (2)(ic) Income under clause (ic) of sub-section (2) of section 194LC
4BA1	194LBA(a)/BA1	Certain income in the form of interest from units of a business trust to a resident unit holder
4BA2	194LBA(b)/BA2	Certain income in the form of dividend from units of a business trust to a resident unit holder
LBA1	194LBA(a)/BA1	194LBA(a) income referred to in section 10(23FC)(a) from units of a business trust-NR
LBA2	194LBA(b)/BA2	194LBA(b) Income referred to in section 10(23FC)(b) from units of a business trust-NR
LBA3	194LBA(c)/BA3	194LBA(c) Income referred to in section 10(23FCA) from units of a business trust-NR
LBB	194LBB	Income in respect of units of investment fund
94R	194R	Benefits or perquisites of business or profession
94S	194S	Payment of consideration for transfer of virtual digital asset by persons other than specified persons
94B-P	194B/4BP	Proviso to section 194B/4BP- Winnings from lotteries and crossword puzzles where consideration is made in kind  or cash is not sufficient to meet the tax liability and tax has been paid before such winnings are released
94R-P	194R/4RP	First Proviso to sub-section(1) of section 194R/4RP- Benefits or perquisites of business or profession where such  benefit is provided in kind or where part in cash is not sufficient to meet tax liability and tax required to be  deducted is paid before such benefit is released
94S-P	194S/4SP	Proviso to sub- section(1) of section 194S/4SP- Payment for transfer of virtual digital asset where payment is in  kind or in exchange of another virtual digital asset and tax required to be deducted is paid before such payment  is released
LBC	194LBC	Income in respect of investment in securitization trust
4LD	194LD	TDS on interest on bonds / government securities
94M	194M	Payment of certain sums by certain individuals or HUF
94N	194N	Payment of certain amounts in cash other than cases covered by first proviso or third proviso
94N-F	194N/4NF	194N/4NF -First Proviso Payment of certain amounts in cash to non-filers except in case of co-operativesocieties
94N-C	194N/4NC	194N/4NC- Third Proviso Payment of certain amounts in cash to co-operative societies not covered by first proviso
94N-FT	194N/NFT	194N/NFT- First Proviso read with Third Proviso Payment of certain amount in cash to non-filers being co- operative societies
94O	194O	Payment of certain sums by e-commerce operator to e-commerce participant.
94P	194P	Deduction of tax in case of specified senior citizen
94Q	194Q	Deduction of tax at source on payment of certain sum for purchase of goods
195	195	Other sums payable to a non-resident
96A	196A	Income in respect of units of non-residents
96B	196B	Payments in respect of units to an offshore fund
96C	196C	Income from foreign currency bonds or shares of Indian
96D	196D	Income of foreign institutional investors from securities
96DA	196D(1A)/6DA	Income of specified fund from securities
94BA-P	194BA(2)	194BA(2)/BAP-Sub-section (2) of section 194BA Net Winnings from online games where the net winnings are made in kind or cash is not sufficient to meet the tax liability and tax has been paid before such net winnings are released
